Name,Age,Position
Yasmani Grandal,30,C
Wilson Ramos,31,C
Kurt Suzuki,35,C
Robinson Chirinos,35,C
Martín Maldonado,32,C
Nick Hundley,35,C
Matt Wieters,33,C
A.J. Ellis,38,C
Devin Mesoraco,31,C
Jonathan Lucroy,33,C
Chris Herrmann,31,C
Brian McCann,35,C
René Rivera,35,C
Juan Graterol,29,C
Caleb Joseph,32,C
James McCann,28,C
Chris Stewart,37,C
Jarrod Saltalamacchia,34,C
Jose Lobaton,34,C
Drew Butera,35,C
Jeff Mathis,36,C
Bobby Wilson,36,C
Stephen Vogt,34,C
Steve Pearce,36,1B
Matt Adams,30,1B
Wilmer Flores,27,1B
Justin Bour,30,1B
Mark Reynolds,35,1B
Lucas Duda,32,1B
Brad Miller,29,1B
Adam Rosales,36,1B
Hanley Ramirez,35,1B
Logan Morrison,31,1B
Jed Lowrie,35,2B
Asdrúbal Cabrera,33,2B
Ian Kinsler,37,2B
DJ LeMahieu,30,2B
Daniel Descalso,32,2B
Brian Dozier,32,2B
Daniel Murphy,34,2B
Cory Spangenberg,28,2B
Jonathan Schoop,27,2B
Ronald Torreyes,26,2B
Josh Harrison,31,2B
Andrew Romine,33,2B
Neil Walker,33,2B
Sean Rodríguez,34,2B
Gordon Beckham,32,2B
Dixon Machado,27,2B
Logan Forsythe,32,2B
Brandon Phillips,38,2B
Brett Lawrie,29,2B
Danny Espinosa,32,2B
Eduardo Escobar,30,3B,
Mike Moustakas,30,3B,
Josh Donaldson,33,3B,
Jung Ho Kang,32,3B,
Chase Headley,35,3B,
Ryan Flaherty,32,3B,
Danny Valencia,34,3B,
José Reyes,36,3B,
Yangervis Solarte,31,3B,
Manny Machado,26,SS,
José Iglesias,29,SS,
Freddy Galvis,29,SS,
Jordy Mercer,32,SS,
Adeiny Hechavarria,30,SS,
Alcides Escobar,32,SS,
Tim Beckham,28,SS,
Eric Sogard,33,SS,
Troy Tulowitzki,34,SS,
Michael Brantley,32,LF
Marwin Gonzalez,30,LF
Denard Span,35,LF
Curtis Granderson,38,LF
Derek Dietrich,29,LF
Craig Gentry,35,LF
Cameron Maybin,32,LF
Matt Joyce,34,LF
Matt Holliday,39,LF
Danny Santana,28,LF
Gerardo Parra,32,LF
Preston Tucker,28,LF
Grégor Blanco,35,LF
Hunter Pence,36,LF
Ben Revere,30,LF
A.J. Pollock,31,CF
Adam Jones,33,CF
Billy Hamilton,28,CF
Gorkys Hernández,31,CF
Eric Young Jr.,34,CF
Rajai Davis,38,CF
Austin Jackson,32,CF
Bryce Harper,26,RF
Andrew McCutchen,32,RF
Nick Markakis,35,RF
Carlos González,33,RF
José Bautista,38,RF
Jon Jay,33,RF
Lonnie Chisenhall,30,RF
Robbie Grossman,29,RF
Melky Cabrera,34,RF
Brandon Guyer,33,RF
Avisaíl García,28,RF
Aristides Aquino,24,RF
Ichiro Suzuki,45,RF
Carlos Gómez,33,RF
Chris Young,35,RF
Chris Owings,27,RF
Nelson Cruz,38,DH
Matt Davidson,28,DH
Evan Gattis,32,DH
Pedro Álvarez,32,DH
Patrick Corbin,29,SP
Dallas Keuchel,31,SP
J.A. Happ,36,SP
Charlie Morton,35,SP
Lance Lynn,32,SP
CC Sabathia,38,SP
Aníbal Sánchez,35,SP
Nathan Eovaldi,29,SP
Gio Gonzalez,33,SP
Hyun-Jin Ryu,32,SP
Trevor Cahill,31,SP
Derek Holland,32,SP
Clay Buchholz,34,SP
Wade Miley,32,SP
Matt Harvey,30,SP
Mike Fiers,33,SP
Jeremy Hellickson,32,SP
Garrett Richards,32,SP
Tyson Ross,32,SP
Brett Anderson,31,SP
James Shields,37,SP
Jason Hammel,36,SP
Edwin Jackson,35,SP
Matt Shoemaker,32,SP
Adam Wainwright,37,SP
Marco Estrada,35,SP
Francisco Liriano,35,SP
Doug Fister,35,SP
Bartolo Colon,46,SP
Yovani Gallardo,33,SP
Matt Moore,30,SP
Sam Howard,25,SP
Martin Pérez,28,SP
Shelby Miller,28,SP
Homer Bailey,33,SP
Drew Pomeranz,30,SP
Miguel González,35,SP
Kendall Graveman,27,SP
Chris Tillman,31,SP
Ervin Santana,36,SP
Yusei Kikuchi,28,SP
Nate Karns,31,SP
Ricky Nolasco,36,SP
Adam Ottavino,33,RP
Jeurys Familia,29,RP
Joakim Soria,35,RP
David Robertson,34,RP
Craig Kimbrel,31,RP
Jesse Chavez,35,RP
Oliver Pérez,37,RP
Luis Avilán,29,RP
Tony Sipp,35,RP
Zach Duke,36,RP
Brad Brach,33,RP
Nick Vincent,32,RP
Joe Kelly,31,RP
Jordan Lyles,28,RP
Sergio Romo,36,RP
Jake Diekman,32,RP
Justin Wilson,31,RP
Tyler Clippard,34,RP
Shawn Kelley,35,RP
Xavier Cedeño,32,RP
Andrew Miller,34,RP
Kelvin Herrera,29,RP
Greg Holland,33,RP
Tony Barnette,35,RP
Aaron Loup,31,RP
Adam Warren,31,RP
John Axford,36,RP
Bud Norris,34,RP
Ryan Madson,38,RP
Dan Jennings,31,RP
Jeanmar Gómez,31,RP
Alex Wilson,32,RP
Zack Britton,31,RP
Santiago Casilla,38,RP
Carson Smith,29,RP
Cory Gearrin,32,RP
Ricardo Rodríguez,26,RP
Cody Allen,30,RP
Jorge De La Rosa,38,RP
Justin Hancock,28,RP
Fernando Salas,34,RP
Zach McAllister,31,RP
Jake Petricka,31,RP
Blake Parker,31,RP
Zac Rosscup,31,RP
Blake Wood,33,RP
Daniel Hudson,32,RP
Jerry Blevins,35,RP
Brad Boxberger,30,RP
Matt Bush,32,RP
Adrian Sampson,27,RP
Allen Webster,28,RP
Zac Curtis,26,RP
Hunter Strickland,30,RP
Matt Belisle,39,RP
AJ Ramos,32,RP
Héctor Santiago,31,RP
Jim Johnson,36,RP
Randall Delgado,29,RP
Marc Rzepczynski,33,RP
Boone Logan,34,RP
Peter Moylan,40,RP
Tim Collins,29,RP
Jason Adam,27,RP
Junichi Tazawa,33,RP
Brandon Maurer,28,RP
Blaine Boyer,37,RP
Josh Tomlin,34,RP
Joaquin Benoit,41,RP
Samir Dueñez,22,RP
Jandel Gustave,26,RP
Andres Machado,25,RP
Jenrry Mejia,29,RP
David Phelps,32,RP
Justin Nicolino,27,RP
